,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_oob_score,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_samples,param_max_features,param_max_depth,param_criterion,param_class_weight,param_bootstrap,params,split0_test_accuracy,split1_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_f1,split1_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,mean_train_f1,std_train_f1,split0_test_precision,split1_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,mean_train_recall,std_train_recall,split0_test_roc_auc,split1_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,mean_train_roc_auc,std_train_roc_auc
0,4.069288372993469,0.02621638774871826,1.5486314296722412,0.0038285255432128906,True,500,47,2,0.1,4,7,gini,balanced,True,"{'oob_score': True, 'n_estimators': 500, 'min_samples_split': 47, 'min_samples_leaf': 2, 'max_samples': 0.1, 'max_features': 4, 'max_depth': 7, 'criterion': 'gini', 'class_weight': 'balanced', 'bootstrap': True}",0.8140628193772569,0.8128364107106357,0.8134496150439463,0.0006132043333105797,810,0.8187640525993051,0.8189684540437419,0.8188662533215234,0.00010220072221839295,0.6370527995744115,0.6347560164871692,0.6359044080307903,0.0011483915436211745,335,0.646746347941567,0.6469572149880415,0.6468517814648043,0.00010543352323721944,0.5570415164554018,0.5549227013832384,0.5559821089193201,0.0010594075360816912,806,0.56489966361211,0.5653082549634274,0.5651039592877687,0.00020429567565871665,0.7439043329709583,0.7414194750737693,0.7426619040223638,0.0012424289485944984,310,0.7563286224569032,0.756173318838329,0.7562509706476161,7.765180928714921e-05,0.8762155879899031,0.8782246536141369,0.87722012080202,0.0010045328121169317,730,0.8861991403099234,0.8860286553644625,0.886113897837193,8.524247273045127e-05
1,3.545891523361206,0.011952400207519531,0.9828635454177856,0.003277420997619629,True,250,47,22,0.3,4,11,gini,,True,"{'oob_score': True, 'n_estimators': 250, 'min_samples_split': 47, 'min_samples_leaf': 22, 'max_samples': 0.3, 'max_features': 4, 'max_depth': 11, 'criterion': 'gini', 'class_weight': None, 'bootstrap': True}",0.8511276146351434,0.8530353614498876,0.8520814880425155,0.0009538734073720745,274,0.8606663487088642,0.8598146760237105,0.8602405123662873,0.000425836342576813,0.5758928571428571,0.5864647239263804,0.5811787905346187,0.0052859333917616436,777,0.6063522617901829,0.6055784529857184,0.6059653573879507,0.00038690440223221323,0.7676584734799482,0.7660906586526421,0.7668745660662952,0.0007839074136530289,201,0.7972665148063781,0.7909364046069104,0.7941014597066443,0.00316505509973386,0.46078583630998604,0.4750737692188228,0.46792980276440443,0.007143966454418366,778,0.48920639850908526,0.49060413107625406,0.48990526479266966,0.0006988662835843984,0.8803520454821709,0.8820600260854504,0.8812060357838107,0.0008539903016397399,440,0.9009839431375267,0.9011954989941184,0.9010897210658226,0.00010577792829585819
2,0.4939025640487671,0.0035845041275024414,0.16020214557647705,0.0047370195388793945,True,50,47,12,0.3,4,5,gini,,True,"{'oob_score': True, 'n_estimators': 50, 'min_samples_split': 47, 'min_samples_leaf': 12, 'max_samples': 0.3, 'max_features': 4, 'max_depth': 5, 'criterion': 'gini', 'class_weight': None, 'bootstrap': True}",0.8438372964502282,0.8481978605982149,0.8460175785242215,0.002180282073993345,522,0.8489813994685562,0.8492539347278054,0.8491176670981808,0.00013626762962459793,0.5331024648604604,0.5442830844753528,0.5386927746679067,0.005590309807446181,998,0.5505424313089323,0.5468509984639017,0.548696714886417,0.0018457164225152978,0.7744894939331163,0.7969451931716083,0.7857173435523623,0.011227849619246,43,0.7929322429906542,0.8027660853878533,0.7978491641892538,0.004916921198599544,0.40642956980897654,0.4132629290262463,0.4098462494176114,0.0034166796086348705,994,0.4216493244292592,0.41466066159341514,0.4181549930113372,0.0034943314179220197,0.8652346665463907,0.8688198622721559,0.8670272644092734,0.0017925978628826056,997,0.8743487354784932,0.8730386615193384,0.8736936984989159,0.0006550369795774169
3,0.44295263290405273,0.0029096603393554688,0.20127379894256592,0.0018590688705444336,True,50,17,22,0.1,4,17,gini,,True,"{'oob_score': True, 'n_estimators': 50, 'min_samples_split': 17, 'min_samples_leaf': 22, 'max_samples': 0.1, 'max_features': 4, 'max_depth': 17, 'criterion': 'gini', 'class_weight': None, 'bootstrap': True}",0.8486066634870887,0.8507188117462696,0.8496627376166792,0.0010560741295904674,432,0.8527968930980445,0.8518430196906724,0.8523199563943584,0.00047693670368603724,0.563800549666274,0.5745631067961166,0.5691818282311953,0.005381278564921266,883,0.5788088507651817,0.5764098568228305,0.5776093537940061,0.0011994969711756065,0.7660709522539344,0.7663817663817664,0.7662263593178504,0.00015540706391597991,226,0.7772251308900524,0.7729885057471264,0.7751068183185894,0.002118312571462999,0.4460319925454263,0.45954340736139154,0.45278769995340895,0.00675570740798262,858,0.46109644354713464,0.45954340736139154,0.4603199254542631,0.0007765180928715476,0.8749295500020892,0.8773009478129351,0.8761152489075121,0.0011856989054229716,807,0.8849310386531831,0.8856685326031025,0.8852997856281428,0.00036874697495969944
4,2.442201614379883,0.008413553237915039,0.6676288843154907,0.004128098487854004,True,250,62,22,0.3,4,5,gini,,True,"{'oob_score': True, 'n_estimators': 250, 'min_samples_split': 62, 'min_samples_leaf': 22, 'max_samples': 0.3, 'max_features': 4, 'max_depth': 5, 'criterion': 'gini', 'class_weight': None, 'bootstrap': True}",0.8456087756353479,0.8481978605982149,0.8469033181167813,0.0012945424814335138,487,0.8496968045240854,0.8489473325611501,0.8493220685426177,0.0003747359814676443,0.5367947669664759,0.5438165438165438,0.5403056553915098,0.0035108884250339423,989,0.5506213078019963,0.5473662719477338,0.548993789874865,0.001627517927131228,0.785052316890882,0.7978371883448483,0.7914447526178652,0.00639243572698317,2,0.799940810890796,0.7986297289246351,0.7992852699077155,0.0006555409830804604,0.40782730237614534,0.41248641093337474,0.41015685665476004,0.0023295542786146983,992,0.41978568100636743,0.4163690013977326,0.41807734120205,0.0017083398043174214,0.8670997908263918,0.8705851727165668,0.8688424817714793,0.0017426909450874994,960,0.8752734646637842,0.8743576782288625,0.8748155714463233,0.00045789321746086964
5,7.233644366264343,0.013950467109680176,2.0046573877334595,0.007569432258605957,True,500,62,12,0.3,4,15,gini,balanced,True,"{'oob_score': True, 'n_estimators': 500, 'min_samples_split': 62, 'min_samples_leaf': 12, 'max_samples': 0.3, 'max_features': 4, 'max_depth': 15, 'criterion': 'gini', 'class_weight': 'balanced', 'bootstrap': True}",0.8156298971179397,0.815493629488315,0.8155617633031274,6.813381481229897e-05,773,0.8300401989507392,0.8309940723581113,0.8305171356544252,0.00047693670368603724,0.6421108319005423,0.6414194915254238,0.641765161712983,0.00034567018755926604,260,0.6710187932739862,0.6716091877937379,0.6713139905338621,0.00029519725987586787,0.5591385465852816,0.5590305828043854,0.5590845646948335,5.398189044808488e-05,775,0.5830850332340133,0.5852561144439317,0.5841705738389724,0.0010855406049591898,0.7539990681782885,0.7522907283739712,0.7531448982761298,0.0008541699021586968,212,0.7901848113061034,0.7878552570274887,0.7890200341667961,0.0011647771393073492,0.8819695142012672,0.883484603847172,0.8827270590242196,0.0007575448229523718,297,0.9060871529478358,0.9065288143448086,0.9063079836463221,0.00022083069848638504
6,6.29759407043457,0.004243135452270508,1.232435941696167,0.004700899124145508,True,250,32,12,0.7,4,15,gini,balanced,True,"{'oob_score': True, 'n_estimators': 250, 'min_samples_split': 32, 'min_samples_leaf': 12, 'max_samples': 0.7, 'max_features': 4, 'max_depth': 15, 'criterion': 'gini', 'class_weight': 'balanced', 'bootstrap': True}",0.8286775226544935,0.8282346528582135,0.8284560877563535,0.00022143489813997164,589,0.8672753287456565,0.8706479525788648,0.8689616406622607,0.0016863119166041773,0.6533397670090301,0.6522278935025521,0.6527838302557911,0.0005559367532390058,38,0.734929922438427,0.7401273013482992,0.737528611893363,0.002598689454936076,0.5873822508676252,0.5866732845266162,0.5870277676971207,0.00035448317050451594,592,0.6539532631069137,0.6616495349975526,0.6578013990522331,0.003848135945319464,0.7359838484236683,0.7342755086193509,0.7351296785215096,0.0008541699021586968,350,0.8387948439198634,0.8397266656313092,0.8392607547755863,0.00046591085572289526,0.8855508027685725,0.8872644018182756,0.886407602293424,0.0008567995248515703,28,0.9405741123744181,0.9413630805108123,0.9409685964426152,0.00039448406819708737
7,1.3280081748962402,0.013592004776000977,0.2690013647079468,0.0005944967269897461,True,50,32,12,0.7,4,19,gini,,True,"{'oob_score': True, 'n_estimators': 50, 'min_samples_split': 32, 'min_samples_leaf': 12, 'max_samples': 0.7, 'max_features': 4, 'max_depth': 19, 'criterion': 'gini', 'class_weight': None, 'bootstrap': True}",0.8540233017646658,0.8544661715609457,0.8542447366628058,0.00022143489813997164,67,0.8793690808748382,0.8799822852081488,0.8796756830414936,0.00030660216665528983,0.5941081746708345,0.5997001499250375,0.5969041622979361,0.0027959876271014816,554,0.6694052842871814,0.6731001206272617,0.6712527024572215,0.0018474181700401382,0.7615347255949491,0.7559650366170565,0.7587498811060027,0.002784844488946281,441,0.839185393258427,0.8360995850622407,0.8376424891603338,0.0015429040980931563,0.48703214784904486,0.4969715794378009,0.4920018636434229,0.004969715794378021,551,0.5567634725889113,0.5632862245690324,0.5600248485789718,0.0032613759900605443,0.8833637225318374,0.8846364056961558,0.8840000641139966,0.0006363415821591945,193,0.9371120717743314,0.9374739024349663,0.9372929871046489,0.00018091533031744378
8,0.7494488954544067,0.0007280111312866211,0.23102056980133057,0.0012825727462768555,True,50,47,22,0.3,4,19,gini,,True,"{'oob_score': True, 'n_estimators': 50, 'min_samples_split': 47, 'min_samples_leaf': 22, 'max_samples': 0.3, 'max_features': 4, 'max_depth': 19, 'criterion': 'gini', 'class_weight': None, 'bootstrap': True}",0.8520474211351093,0.8530694283572937,0.8525584247462015,0.0005110036110921867,225,0.8601212781903659,0.8593718062274307,0.8597465422088983,0.0003747359814675888,0.5815589170440313,0.5876278802944832,0.5845933986692573,0.00303448162522596,718,0.6076820179629275,0.6060316854361519,0.6068568516995397,0.0008251662633877999,0.7659898477157361,0.7644278606965174,0.7652088542061267,0.0007809935096093623,268,0.7896697293270425,0.786085664768507,0.7878776970477748,0.001792032279267719,0.468706320857276,0.47724801987886317,0.4729771703680696,0.004270849510793595,713,0.49386550706631466,0.49308898897344305,0.49347724801987886,0.00038825904643580156,0.8791544217800262,0.881133626276464,0.8801440240282451,0.0009896022482188682,527,0.9019946806392707,0.9020743893828036,0.9020345350110371,3.9854371766456786e-05
9,0.43495094776153564,0.017046093940734863,0.18800652027130127,0.0007914304733276367,True,50,32,12,0.1,4,7,gini,balanced,True,"{'oob_score': True, 'n_estimators': 50, 'min_samples_split': 32, 'min_samples_leaf': 12, 'max_samples': 0.1, 'max_features': 4, 'max_depth': 7, 'criterion': 'gini', 'class_weight': 'balanced', 'bootstrap': True}",0.810792396266267,0.8149144920624106,0.8128534441643388,0.0020610478980718216,818,0.8155617633031274,0.82084213395108,0.8182019486271037,0.0026401853239763073,0.6341720458437623,0.6361261804299779,0.6351491131368701,0.000977067293107814,351,0.6432995124522336,0.6471653807447165,0.6452324465984751,0.0019329341462414606,0.5506119181059133,0.5592322185586435,0.5549220683322784,0.004310150226365106,810,0.5586451539077698,0.5696905268131349,0.5641678403604524,0.005522686452682557,0.7476316198167418,0.7375368846094114,0.7425842522130766,0.005047367603665198,311,0.758192265879795,0.7490293523839106,0.7536108091318527,0.0045814567479422474,0.8748775370140573,0.8773962208052157,0.8761368789096365,0.0012593418955791913,801,0.8853652788211646,0.8857624941727256,0.8855638864969451,0.00019860767578050442
